Tweet,Sentiment
Latest Avengers: Infinity War Trailer Puts Spotlight On Black Panther: Avengers: Infinity https://t.co/88CQmR8oBq,neutral
"Women have made it so on social media they are basically gods.

They can chat to you any kind of way and whether or https://t.co/7TRrtHmDeT",neutral
"@sweeet_caroline chris evans already said avengers 4 is his last film so hes definitely a goner, i expect a female https://t.co/zaYI5ZCIV0",positive
"We explain what the @Avengers #InfinityWar tracking REALLY means, plus we talk a/b which characters @JohnBoyega cou https://t.co/k4jpiVAlY1",neutral
"#BlackWidow #CaptainAmerica
#Romanogers #Capwidow
#NatashaRomanoff #SteveRogers
#Avengers #InfinityWar https://t.co/yLR6mLzq8h",neutral
@Marvel @Avengers In summation.  https://t.co/SLGDg72XLh,neutral
The crazy part bout the new avengers is #4 coming out a year from now.,neutral
"""Avengers Infinity War is the most ambitious ensemble ever"" https://t.co/nYdBRUjGVa",neutral
@_ChristopherM No way does Marvel not pass that opportunity up...especially with what I think is gonna happen in Avengers 4.,negative
// Can Chris pretty please start doing some promo so I can see his pretty face with his Avengers friends.,positive
Sebastian Stan - UK Fan Event for Avengers Infinity War at Television Studios White City on April 8 - London... https://t.co/bumFMNCTmi,neutral
Latest Avengers: Infinity War Trailer Puts Spotlight On Black Panther: Avengers: Infinity https://t.co/GNh5uHecYC,neutral
What Do The Infinity Stones Do In Avengers: Infinity War? https://t.co/6plXb7SuBR https://t.co/ceSmCMs9xO,neutral
I liked a @YouTube video https://t.co/1uoxlp8FwN Who Is Going To Die in Avengers Infinity War? (Nerdist News Edition),neutral
I liked a @YouTube video https://t.co/ZDqlTq3pu1 Marvel Studios' Avengers: Infinity War -- Chant TV Spot,neutral
@Guardians @Avengers THATS MY LITTLE STARLORD https://t.co/R41ER42EvZ,neutral
eating dinner at The Avengers Restaurant https://t.co/zx8zixDV5v,neutral
Agents of Shield are already hyping up Avengers infinity war. Hydra and Shield teaming up to deal with the invasion https://t.co/BdLtT33pMi,neutral
I can't bring myself to watch these Avengers: Infinity War TV spots.,neutral
This makes me want the Hot Toys version even more now haha. #theGWW #DoYouEvenComicBook #DYECB #Thanos #Marvel #MCU https://t.co/XqFkY6Tcwa,positive
@thisislucy @EIizabethOIsen @Avengers They're so cute,neutral
I like Star-Lord in the Avengers. https://t.co/wJZlrjVTGG,neutral
I kinda like that it's a big deal when we do get a new Young Avengers book and they are complete stories. https://t.co/q6iscjovhM,positive
"@JusticeInACowl Woah!

Now hes wondering how old Strange is. Isnt he older than Bruce and most Avengers? He has to be like fifty.",positive
"#NEW Elizabeth Olsen attending the Avengers: Infinity War fan screening in London, UK on April 8, 2018. https://t.co/HkLpATSQcY",neutral
"@Comic_Polls Thor, because Loki should take his place on the Avengers.",neutral
"@Avengers StarLord, can't wait to see you in 3 weeks ",positive
"Aw shit, it's fuckin game time!
Yay!   
I've been begged to play Lego super hero games. We are starting with Bat https://t.co/Kop5oU3YyJ",positive
"@brunaospfc We've gotta have it ready for Avengers: Infinity War, you bet! We know our team will be able to get this sorted relatively soon.",positive
". real tired violets an blue Batman Wars Jurassic Lord . , Independance Armagedon Private Black Man Zone Harry Avengers The Titanic Revnant",positive
@taylorwena @Avengers awe ur so cute https://t.co/SNcxKWJ0K5,neutral
"NEW: Elizabeth Olsen, Paul Bettany,  Sebastian Stan, Benedict Cumberbatch and Tom Holland in London on a special ep https://t.co/CJiiVNGkDj",neutral
@THE_Stefano_DLC Waititi wouldve delivered a solid Avengers film as well,positive
If I found a place that did Avengers inspired drinks would you go out for a drink with me? Or better still we could https://t.co/n0bCVzKlMe,positive
How people see Thanos in avengers vs how I see him https://t.co/w4SzokEH8u,neutral
The Avengers: Vacancy could indicate microtransactions https://t.co/yjAYgfqbwp #theavengers,neutral
"@MarvelStudios @Avengers Oh shit, Thanos has got four stones already? damnnnnnn. It wouldn't surprise me if the las https://t.co/oEe6KTR90K",negative
there's this girl in my class and she's the naciest and prettiest human ever and she just dm me and now we're talki https://t.co/pcK78cUNMw,negative
Which Previous @Avengers film do you prefer? #Avengers or Avengers: Age Of Ultron?,neutral
No shame in admitting I got my @Avengers #infinitywar tickets over 3 weeks ago #wakandaforver #therewasanidea,negative
I liked a @YouTube video https://t.co/GtXwssoN3Q Marvel Studios' Avengers: Infinity War -- Chant TV Spot,neutral
The Avengers: Infinity War (2018). https://t.co/KsMSs993ma,neutral
The Avengers 4 title has been revealed!! https://t.co/EM8UjBcfE8,neutral
@mauroranallo I can honestly say that Mauro that you are the greatest commentator if ever heard in anything that av https://t.co/xpTUP1Kxyp,neutral
Ive seen the avengers trailer like 1000 times already and still feels like its new,positive
I liked a @YouTube video https://t.co/7K19zCSMeR The Gecko Gets Hyped For Marvel Studios Avengers: Infinity War! - GEICO,positive
