Tweet,Sentiment
"@Sanam_Official Noo, sorry I was actually pre-occupied wid the IPL match Kkr vs. Rcb ",neutral
Congratulations team kkr #ipl,positive
Pics-9: #ShahRukhKhan @iamsrk with #AbRam and #SuhanaKhan at #IPL match in Kolkata #KKRvRCB @KKRiders [8 April 2018 https://t.co/7dr77KYo4i,positive
A 50 off 19 balls by @SunilPNarine74 helped the @KKRiders pick up an opening win!!! #KKRvRCB #IPL https://t.co/BIvCLyONYw,neutral
"Virat Kohli - ""I think we were 15 short with the bat. I played too many dot balls and couldn't get any momentum goi https://t.co/kdv21a0zRE",negative
The hero tonight!! Take a bow sir We won!!!!!!!! @IPL @KKRiders #KKRvRCB @iamsrk What a win tonight at the Edens!! https://t.co/9fQ7KAzOWU,positive
"Virat Kohli - ""Me and AB getting out to a part-timer was a game changing event and the way Sunil batted in the firs https://t.co/Wvokbk9ItO",neutral
SRKs Presence Pumps Kolkata Crowd InIPL https://t.co/hT7UMj7lFe https://t.co/9bceMZMGHE,neutral
". @KKRiders kick off their IPL 2018 campaign on a winning note, beating @RCBTweets by 4 wickets! What with boss https://t.co/1dBcFxfyp5",neutral
@arnav20_cfc @IPL We might end up finishing below arsenal .. ,neutral
#KXIPvDD : Power hitting performance by KL Rahul. #IPL,neutral
@xmowais No interest in IPL when daily thousand hundereds of kashmiris getting martyred,neutral
@Sunnysaharan111 Common man it's only the first match.... Still too much to go... #KKRvRCB #IPL,negative
Maharani what a batting performance that your solder's were played this what we called really ipl match once Kings https://t.co/CVqlC10T1c,neutral
I just thought of something. How expensive would Mitchell McClenaghan be if he played for RCB #KKRvRCB #IPL,neutral
"this is how @KKRiders fans celebrate their victory.. 
#IPL2018 #VIVOIPLonStar #IPL 
#KKRvRCB #KKRHaiTaiyaar https://t.co/4PAAtDvBR1",positive
"Ranking of runs made by IPL Captains in ascending order.

1. Dhoni - 5 runs
4. Dinesh Karthik -  35runs (not out pl https://t.co/9FG2ziHDTG",neutral
@afneil Pain in the arse commentating on the IPL.,negative
Who should get the man of the match award? Rana or Narine? #KKRvRCB #ipl,neutral
KKR VS RCB HIGHLIGHTS | IPL 2018 - MATCH 3: https://t.co/yN8JskOxKA via @YouTube,neutral
"KKR start the IPL season 11 on a winning note. 
#KKRvRCB #RCBvKKR #IPL2018 https://t.co/PSyviqw6eE",neutral
IPL 2018 KKR VS RCB : Kolkata Knight Riders Won By 4 Wkts | News Remind: https://t.co/bmTdVddjHW via @YouTube,neutral
"Retweeted IndianPremierLeague (@IPL):

Match 3. It's all over! Kolkata Knight Riders won by 4 wickets https://t.co/Pt9y6WDZKg",neutral
@Mangashu @IPL @ChennaiIPL @DelhiDaredevils @kingsofficial @KKRiders @mipaltan @rajasthanroyals @RCBTweets https://t.co/0DGkKvaj5Y,neutral
"I do love IPL cricket. Gold pads, fireworks, cheerleaders and flashing bails - what's not to love?! ",positive
"Why only @iamsrk is being treated as VVIP in IPL? Are not other owners, eligible for same treatment? But everyone k https://t.co/YJxXsT5NZO",negative
"Perfect start of @IPL with a victory. Well played @KkrKnightRiders ,keep going strong like this. love to @iamsrk #IPL2018",positive
@_Namratha_Gowda @RCBTweets @IPL @TrollHaiklu Nodad bitbidi.,neutral
"@arnav20_cfc @IPL Right there with you bro, Cricket &gt;&gt;",neutral
IPL 2018 PointsTable https://t.co/XQIBo1sS3N https://t.co/4gHQVsziIA,neutral
"KKR usually opens IPL season with RCB 
KKR usually Fucks RCB",neutral
ACER Partners with Delhi Daredevils as its Technology Partner in IPL 2018 https://t.co/fvtD8LJ1ml #breakingnews,neutral
#dineshkarthik held the #KKR innings together like his coach @jacqueskallis75 used to do during his #IPL days. #KKR https://t.co/1fPXWTBaWA,neutral
"@RCBTweets  countinous their form with #loosing
@imVkohli  ,@IPL @StarSportsIndia",negative
"#tmwkiyakya 
#KKRvRCB 
#IPL #IPL18 
#CricketMeriJaan

#tmwkiyakya 
#tmwkiyakya 
#tmwkiyakya 
#tmwkiyakya https://t.co/kwGPd9WvGN",neutral
I added a video to a @YouTube playlist https://t.co/bmTdVddjHW IPL 2018 KKR VS RCB : Kolkata Knight Riders Won By 4 Wkts | News Remind,neutral
I added a video to a @YouTube playlist https://t.co/yN8JskOxKA KKR VS RCB HIGHLIGHTS | IPL 2018 - MATCH 3,neutral
KKR won by 4 wickets at IPL: https://t.co/wwWVzJdBR3 via @YouTube,neutral
@KaminiBae How did you add that ipl filter? ,neutral
"The Kolkata Knight Riders start the VIVO #IPL season on a winning note. 

Beat #RCB by 4 wickets with seven balls t https://t.co/zH4HQbbDN1",positive
@adi_1323 Then be specific in your statements and tweets....btw Virat Kohli is a good captain and everyone has his https://t.co/3GNwl4iADg,positive
"Virat Kohli - ""I think we were 15 short with the bat. I played too many dot balls and couldn't get any momentum goi https://t.co/XGIvl4EVI1",negative
"@RVCJ_FB Year may change but the consistent performance of RCB in IPL wont :P
#Losers :D 
KKR",negative
@MazherArshad That's why I stopped watching IPL match.  they are killing even quality bowler,negative
Still PSL better than IPL....! https://t.co/XuKjz83H8E,positive
Hence this is the IPL you don't know what to expect. #RCBvKKR https://t.co/pvwPK54BMQ,neutral
Lord Vinay Kumar Sir ji started the innings with a 4 and ends with one. Punisher. Finisher. Destroyer. #IPL #KKRvRCB,positive
"RCB to KKR: ""Ee saala cup NIMDE""
#RCB #KKR #RCBvKKR #IPL #IPL2018 @RCBTweets @KKRiders @IPL",neutral
"Misfortunes continue for @imVkohli  &amp; @RCBTweets as they lose another @IPL encounter 
I think Virat should opt out https://t.co/6qsRaFqCjZ",neutral
I liked a @YouTube video https://t.co/e59YvkIJ0H Made of Bold | VIVO IPL 2018,neutral
