Tweet,Sentiment
@TomiLahren Jay Z poster boy of scum and ghetto crap ! as a Latino I support Prez Trump ! he is NOT a racist at all!,negative
"Texas elected official gets misdemeanor, accused of berating a teen girl wearing Trump T-shirt https://t.co/iX184Aw6W4 #FoxNews",neutral
White House chief of staff urges Trump to remove EPA chief Pruitt https://t.co/kQi1jsxn2V via @WSJ,neutral
@Ronsmithracing2 @FlashResists @realDonaldTrump Are all you Trumpanzees bullshitters like Trump?,neutral
"@ZekeJMiller Trump is a liar. 
That is all.",negative
Mexico Just Made a MAJOR Threat to President Trump if He Sends Troops To The Border https://t.co/sX0Jsje79m via https://t.co/z9Z2fmcDL1,neutral
Will We Stop Trump Before Its Too Late? https://t.co/CivzsdGf1n,neutral
@TomiLahren Just because a loud mouth like you said he not a racist dont mean he is not. By the way are we suppose https://t.co/eRegjdTnTy,negative
"Trump speaks at fourth-grade level, lowest of last 15 U.S. presidents, new analysis finds https://t.co/9uXkGX9pvV",neutral
@_boethius Is Trump Scum a new category?,negative
Michelle Obama: My husband was 'the good parent' compared to Trump https://t.co/vi5H94jhax #mike #Trump #POTUSTrump #POTUS,neutral
Michelle Obama Mocks President Trump - Claims Crooked Hillary Was the Most Qualified Candidate in US History (VIDEO) https://t.co/7bF0EH8geR,neutral
"#socialmedia #itcd  #Climate change is a more partisan issue than ever, and Donald Trump https://t.co/cXtAcZarl1",neutral
@FoxNews It's not Trump doing it! It's the Liberal media &amp; Hollywood!,neutral
"@rolandscahill @CocoaKpops Trump preferred debt, bankruptcy, and failures to having a board of directors that could https://t.co/K5t2MNg9Oq",neutral
"@Jenlilheis @sarahkendzior Words like ""populist"", ""nationalist"" or, worst of all, ""conservative"" are being used to https://t.co/BhOyYuWiYL",negative
Former CIA Director Who Served 6 Presidents Tells Trump: Your Self Adoration Is Disgraceful https://t.co/G7xonjC6Jd,negative
@BenSasse Trump knows how to negotiate and you don't have a clue Sasse. Let the man do his job without your constan https://t.co/DgigDhQrsI,negative
"President Trump Made 1,950 Untrue Claims in 2017 https://t.co/KwKa6w8GcX",neutral
US STOCKS-Futures drop as Trump refuels trade war worries https://t.co/JqV72LiHrZ,neutral
"Trump Administration Drops The Hammer On The Russians https://t.co/3TaXzAUDhK via @po_st

when are the bombs going https://t.co/oivSrQzI72",neutral
Whats driving Trumps attacks on Amazon? Its personal https://t.co/XA9y2HbqUw via @WSJ,neutral
"@BillKristol Yes, exactly true. Why meet with known liar for the reason why he had a sexual relationship with Storm https://t.co/xPFS2Ws9M7",negative
@JimmyF @SenJohnMcCain right. its trump's fault that McCain is viewed as a corrupt hack as a senator who doesn't kn https://t.co/QT8o4stll3,negative
@SethAbramson To Trump and his corrupt friends https://t.co/Ljrz3XyEcb,neutral
"@madeleine @nprfreshair What a scary scene to see U.S Marines at Miramar loudly applauding Trump when, during a spe https://t.co/8wnsaFWkUj",neutral
@Trump45sMyBoy @FlashResists @Ronsmithracing2 @realDonaldTrump Trump said that he'd eliminate the debt in eight yea https://t.co/LEYpCkGSRJ,neutral
@realDonaldTrump Trump is very insecure,negative
@WilDonnelly It will be interesting to see if the farmers continue to support Trump.,neutral
@realDonaldTrump China Has the Cards to Call Trump's Bluffhttps://www.bloomberg.com/gadfly/articles/2018-04-06/chin https://t.co/82w4Fu6TdZ,neutral
Ex-top CIA official: Brennan is doing Putin's 'bidding' by speculating about Trump blackmail https://t.co/N84cByf6NL,neutral
The Idiot in Chief gets bitchslapped by Mexican President in an epic video message  Our Voice https://t.co/gkXX76ocTE via @OurVoiceNY,neutral
"@robinlecronesco @ybarry45 I hear you Frauds, Talking/Tweeting about ppl being locked up in your #PipeDreams... But https://t.co/QNfIDibyhX",negative
"45, 45, 45....when will you learn not to mess with California?
""Our guess is that Donald Trump is trying to put Go https://t.co/3PN8Q7zkMF",negative
@kingdavidatx @MrFudd1 @RNCResearch Each wiki article has references to the source. I know of  2-dozen times that T https://t.co/X3qPJgPhX9,neutral
"Trump Attorney Receives ""Pretty Significant"" Documents Related to Obama Unmasking Scandal After Filing FOIA Lawsuit https://t.co/5ilQPySOzD",neutral
"@Bobby__Tyson @kingdavidatx @RNCResearch There is nothing to see. It is painfully obvious.

Take the story today wi https://t.co/jXpeuxedG9",negative
@slam254 @GirlFromBlupo Maybe Trump was getting these same messages from #Amazon and thats why hes so pissed at them. ,negative
Trump threatens tariffs on $100 billion more China goods; Beijing ready to strike back https://t.co/J5xOn8Vvls,neutral
"President Trump to skip White House Correspondents' Dinner again

https://t.co/I0cCLwkiRk",neutral
@mikestoneclark @raisedkountry @CaptainJake6 @The_Trump_Train @realDonaldTrump It's amazing how you join a discussi https://t.co/pX6S3BKA6B,positive
"That's a DEMON right there, look at his REPTILIAN  EYES, a SERPENTS eyes .. https://t.co/bRelUaWrcW",neutral
"I hear at least one woman has called #Trump a rapist. Maybe we should find out more about that allegation, since we https://t.co/UHg6bhCiej",negative
Support for Trumps immigration stance slips among supporters https://t.co/w39sQAIBIQ via @politicususa,neutral
John Kelly's position is getting shaky as Trump says he's 'tired of being told no' https://t.co/AnGVYbVWsE,negative
Opinion | The Conspiracy Theory That Says Trump Is a Genius - The New York Times https://t.co/Yvket8MnaZ,neutral
"@JC12Tx @TheStagmania @magi_jay That was obviously to keep Trump from running as an Independent, but if he *had* do https://t.co/ZZ2P4zb5nk",neutral
"@thehill He's terrified he's losing this part of his base, which he is. What the evangelicals don't get is that Tru https://t.co/gwk0E86VW6",negative
@CNBC And Trump supporters will regret voting for Trump when they lose their jobs.,negative
@markrenaud @derekjamesfrom @joececiyyc @jkenney I agrea those days are gone! The days of Harper Trump and Kenney t https://t.co/2O751NaObX,neutral
Trumpism: Speak Loudly and Carry a Big Stick https://t.co/F83HkLgQpK https://t.co/933XiCOmOP,neutral
Trumps main white nationalist twitter troll is a Middlebury grad in Manhattan https://t.co/eHAwusAznT via @HuffPostPol,neutral
"Rosenstein has stolen 16 months of Trumps presidency, is incompetent, a disgrace, a coward and needs to FIRED. https://t.co/EgVfIsBAaf",negative
Boris Epshtyn Says People Dont Like His Sinclair News Segments Because Theyre Not Biased Against President Trump https://t.co/pqgTDHcyxL,neutral
@FoxNews Excuse me?!?  OBAMA did that!!  Trump is legitimately trying to bring us back together!,negative
trump gets his wall https://t.co/tN1jW0i05c #theresistance #fbr #topbuzz,neutral
@retireleo Really President Trump go get what the American people want the over seeing voted reps in congress want https://t.co/XqzNSXmFZR,negative
No doubt Scott Pruitt will be monitoring Twitter from his bunker at EPA headquarters to know how much longer he is https://t.co/S4cSMHUW6g,neutral
